latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.599297,-7.976074,460.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1991-04-16,0.00,3.58,12.3,0.223,0.264
1991-04-17,0.00,3.31,12.5,0.217,0.262
1991-04-18,0.00,3.57,13.6,0.215,0.260
1991-04-19,0.00,4.35,14.3,0.206,0.257
1991-04-20,0.00,4.44,14.6,0.197,0.255
1991-04-21,4.40,3.03,14.5,0.202,0.253
1991-04-22,2.70,3.68,14.7,0.202,0.252
1991-04-23,0.30,3.38,15.0,0.213,0.251
1991-04-24,0.00,4.08,14.1,0.206,0.250
1991-04-25,0.80,4.04,13.3,0.207,0.248
1991-04-26,0.00,4.62,12.8,0.197,0.246
1991-04-27,0.00,4.74,14.0,0.187,0.244
1991-04-28,0.00,5.09,15.4,0.177,0.241
1991-04-29,0.00,5.26,17.6,0.168,0.239
